Date,Temp_High,Precip_Type
2026-01-01,36,None
2026-01-02,34,None
2026-01-03,30,None
2026-01-04,33,None
2026-01-05,39,Rain
2026-01-06,42,None
2026-01-07,57,Rain
2026-01-08,55,None
2026-01-09,50,None
2026-01-10,46,Mixed
2026-01-11,45,None
2026-01-12,40,None
2026-01-13,52,None
2026-01-14,43,Rain
2026-01-15,40,None
2026-01-16,31,Flurries
2026-01-17,40,None
2026-01-18,33,None
2026-01-19,34,None
2026-01-20,23,None
2026-01-21,40,None
2026-01-22,49,None
2026-01-23,39,None
2026-01-24,19,None
2026-01-25,19,Heavy Snow
2026-01-26,26,Snow
2026-01-27,16,Flurries
2026-01-28,18,None
2026-01-29,22,None
2026-01-30,25,Snow
2026-01-31,30,None
